name,blurb,goal,pledged,usd_pledged,backers_count,country,currency,created_at,launched_at,deadline,staff_pick,spotlight,creator,is_starrable,state,category,is_liked,is_disliked,url,campaign_day_length
Maximum Mayhem Dungeons: Reprints Special #1,"Eight RPG soft cover Adventure Modules for use with OSRIC / 1E or adapt to D&D 5e, DCC, Pathfinder or OSR role-playing games!",500.0,25336.0,25336.0,244,US,USD,2020-06-30,2021-02-12,2021-03-15,False,True,Mark Taormino,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/marktaormino/maximum-mayhem-dungeons-reprints-special-1,31
"Aquilae: Bestiary of the Realm (Dark Obelisk, Pathfinder/5E)","Multiple, massive, full-color hardcover tomes describing 400+ monsters, each in a wide variety of difficulties/CRs, for 5E/Pathfinder.",2000.0,25210.0,25210.0,295,US,USD,2017-08-08,2017-09-29,2017-11-28,False,True,J. Evans Payne,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/infiniumgamestudio/aquilae-bestiary-of-the-realm-dark-obelisk-pathfin,60
Iskløft - Grim Viking 5E Campaign Setting,"Help me bring  this brutal, low fantasy, viking themed 5E campaign setting to life.",1500.0,21314.01,25843.9036140927,581,IE,EUR,2018-02-07,2018-05-01,2018-06-03,False,True,Lloyd Collins,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1335503241/isklft-grim-viking-5e-campaign-setting,33
Esper Genesis: Heroic Sci-Fi Role-Playing for 5E,Esper Genesis is a versatile science fiction RPG and setting that uses the 5th edition rules of the world's greatest roleplaying game.,8000.0,24313.0,24313.0,336,US,USD,2017-02-14,2017-03-07,2017-04-09,False,True,Brian Dalrymple,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/113664363/esper-genesis-heroic-sci-fi-role-playing-for-5e,33
Trilemma Adventures: The Servants of Memory,A bestiary of fantasy monsters for the Year Zero Engine,500.0,31551.29,23531.3389008154,651,CA,CAD,2020-06-27,2020-08-04,2020-09-01,False,True,Michael Prescott,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/trilemma/trilemma-adventures-the-servants-of-memory,28
The Cosmic Dragon Breviary: A Draconic Compendium for 5e,"A small but mighty book filled with unique monsters, rich lore, and player options for DnD based on a novel line of neutral dragons",1000.0,24251.88,24251.88,1270,US,USD,2020-08-31,2020-09-21,2020-10-21,False,True,Tony Casper,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/spectrecreations/the-cosmic-dragon-breviary-a-draconic-compendium-for-5e,30
Limitless Encounters vol. 1: 150 5e Encounters,"Cut your prep time and game more often with 150 5e encounters, and 451 writing prompts.",5000.0,23686.0,23686.0,572,US,USD,2016-10-25,2016-11-14,2016-12-14,False,True,Limitless Adventures,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/limitless-adventures/limitless-encounters-vol-1,30
Valbrik's Silver Ring,A set of three 5e adventures for 4-6 players that require no DM. The players choose and run encounters that they prefer.,20000.0,23605.0,23605.0,425,US,USD,2021-03-16,2021-05-04,2021-05-28,False,True,Limitless Adventures,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/limitless-adventures/valbriks-silver-ring,24
Quickstarter: Limitless NPCs Revision (100+ 5E NPCs),"We're revising Limitless NPCs with new content, a gorgeous new cover, and beautiful interior artwork.",900.0,23394.0,23394.0,953,US,USD,2019-02-25,2019-03-18,2019-04-06,False,True,Limitless Adventures,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/limitless-adventures/quickstarter-limitless-npcs-revision-100-5e-npcs,19
"Deck of Magical Mystery: Tier 4, 5E Compatible","A deck of 54 unique magic items for use in the worlds most recognized role playing game, built for Tier 4 characters level 17-20!",5000.0,23266.0,23266.0,451,US,USD,2018-08-22,2018-08-26,2018-09-25,False,True,Ralph Levi Clark,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/sessionzero/deck-of-magical-mystery-tier-4-5e-compatible,30
"Kisarta, a 5e rpg setting of damned souls and dark horrors","Face horrors from a netherworld as a Soul, dead and damned, in this dark fantasy rpg setting for 5th Edition!",5000.0,20843.91,22966.1422848486,558,IT,EUR,2019-08-22,2019-12-01,2019-12-21,False,True,Isola Illyon Edizioni,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/isolaillyonedizioni/kisarta-a-5e-rpg-setting-of-damned-souls-and-dark-horrors,20
"Wukong, Journey to the West collection, a 5E Adventure!","3d printable minis for your tabletop or painting displays! With a free ""one-shot"" 5E adventure and stat blocks for level 5 and level 10",10.0,23024.0,23024.0,771,US,USD,2021-01-14,2021-02-12,2021-03-14,False,True,Bloody Sword Miniatures,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1592136222/wukong-journey-to-the-west-collection-and-a-5e-adventure,30
The Crystal Corruption: An Adventure & Minis for 5e D&D,"A brand new adventure for 5th edition DnD, with hardcover book, custom miniatures, maps, and more!",10000.0,23003.4,23003.4,485,US,USD,2020-01-27,2020-06-09,2020-07-09,False,True,Anima Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/animagames/the-crystal-corruption-an-adventure-and-minis-for-5th-edition,30
Baby Bestiary: Reprint + Digital Goodies,"Explore the adorable with a reprint of the award-winning Baby Bestiary, with digital goodies and a D&D 5e Beast Companion guide.",8000.0,22855.0,22855.0,472,US,USD,2018-03-11,2018-03-13,2018-04-07,False,True,Baby Bestiary,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/babybestiary/baby-bestiary-reprint-digital-goodies,25
Masks of Power for 5e,"A compendium of threatening creatures, magic masks, and novel archetypes for the greatest roleplaying game.",60000.0,447109.8,22494.134277882,764,MX,MXN,2021-02-27,2021-06-15,2021-07-09,False,True,Jaime Reyes Mondragón,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/yaveos/masks-of-power-for-5e,24
